device,role,evidence_suppression_verdict,evidence_suppression_score,final_tier_40b,trust_lineage_verdict_43,backup_manifest_verdict_44,proximity_cloud_verdict_45,triald_direct_0804_from43,raw_evidence_pressure_from40b,evidence_source_kind_count_0804,jetsam_memory_pressure_hits_0804,diskwrites_storage_pressure_hits_0804,logd_deleted_retirement_hits_0804,reset_watchdog_failure_hits_0804,cpu_resource_pressure_hits_0804
EXT_NO_CONTACT_A,EXTERNAL_CRITICAL_NO_DIRECT_CONTACT,A_EVIDENCE_SUPPRESSION_SHADOW_STRONG,104.225,A_RAW_CORE_0804_NO_CSV_ECHO,B_TRUST_LINEAGE_RAW_ONLY_STRONG_NO_TRIALD_DIRECT,B_RAW_ONLY_BACKUP_MANIFEST_SHADOW,A_CLOUD_TRUST_SEPARATION_STRONG_NO_DIRECT_CONTACT,NO,5845,7,28,3,0,0,6
USER_ORIGIN_MINI1,ORIGIN_CORE,A_EVIDENCE_SUPPRESSION_SHADOW_STRONG,99.867,A_CROSS_CORE_0804,A_TRUST_LINEAGE_STRONG_WITH_TRIALD_DIRECT,A_BACKUP_MANIFEST_SHADOW_WITH_TRUST_LINEAGE,C_USER_DEVICE_LOCAL_OR_TRUST_CONTEXT,YES,5275,5,63,4,0,0,41
USER_DEVICE_12G,USER_CLUSTER_SUPPORT,A_EVIDENCE_SUPPRESSION_SHADOW_SUPPORTED,83.657,A_CROSS_CORE_0804,A_TRUST_LINEAGE_STRONG_WITH_TRIALD_DIRECT,A_BACKUP_MANIFEST_SHADOW_WITH_TRUST_LINEAGE,C_USER_DEVICE_LOCAL_OR_TRUST_CONTEXT,YES,1794,5,19,0,0,0,6
EXT_CONTACT_D,EXTERNAL_CONTACT_KNOWN,B_EVIDENCE_PRESSURE_CONTEXT_SUPPORTED,77.085,A_CROSS_CORE_0804,A_TRUST_LINEAGE_STRONG_WITH_TRIALD_DIRECT,C_WEAK_BACKUP_MANIFEST_CONTEXT,C_PROXIMITY_POSSIBLE_BUT_TRUST_BACKUP_OVERLAP,YES,592,6,55,2,0,0,2
EXT_UNCERTAIN_B,EXTERNAL_CRITICAL_UNCERTAIN_CONTACT,B_EVIDENCE_PRESSURE_CONTEXT_SUPPORTED,73.953,A_CROSS_CORE_0804,A_TRUST_LINEAGE_STRONG_WITH_TRIALD_DIRECT,C_WEAK_BACKUP_MANIFEST_CONTEXT,B_CLOUD_TRUST_SEPARATION_REVIEW_UNCERTAIN_CONTACT,YES,883,5,25,0,0,0,8
EXT_CONTACT_E_12PROMAX,EXTERNAL_CONTACT_KNOWN,B_EVIDENCE_PRESSURE_CONTEXT_SUPPORTED,70.659,A_CROSS_CORE_0804,B_TRUST_LINEAGE_STRONG_NO_TRIALD_DIRECT,B_BACKUP_MANIFEST_SHADOW_RAW_SUPPORTED,C_PROXIMITY_POSSIBLE_BUT_TRUST_BACKUP_OVERLAP,NO,333,4,269,3,0,0,4
USER_DEVICE_11PRO,USER_CLUSTER_SUPPORT,B_EVIDENCE_PRESSURE_CONTEXT_SUPPORTED,70.117,A_CROSS_CORE_0804,A_TRUST_LINEAGE_STRONG_WITH_TRIALD_DIRECT,A_BACKUP_MANIFEST_SHADOW_WITH_TRUST_LINEAGE,C_USER_DEVICE_LOCAL_OR_TRUST_CONTEXT,YES,881,4,0,0,0,0,3
USER_BRIDGE_15G,BRIDGE_TO_LATER_JOKER,B_EVIDENCE_PRESSURE_CONTEXT_SUPPORTED,67.37,A_CROSS_CORE_0804,A_TRUST_LINEAGE_STRONG_WITH_TRIALD_DIRECT,C_WEAK_BACKUP_MANIFEST_CONTEXT,C_USER_DEVICE_LOCAL_OR_TRUST_CONTEXT,YES,316,5,7,0,0,0,3
EXT_CONTACT_E_6SPLUS,EXTERNAL_CONTACT_KNOWN,B_EVIDENCE_PRESSURE_CONTEXT_SUPPORTED,57.961,A_CROSS_CORE_0804,B_TRUST_LINEAGE_STRONG_NO_TRIALD_DIRECT,B_BACKUP_MANIFEST_SHADOW_RAW_SUPPORTED,C_PROXIMITY_POSSIBLE_BUT_TRUST_BACKUP_OVERLAP,NO,264,4,13,0,0,0,0
EXT_REMOTE_GEO_C,EXTERNAL_GEO_SEPARATED,C_WEAK_EVIDENCE_PRESSURE_CONTEXT,66.824,A_CROSS_CORE_0804,A_TRUST_LINEAGE_STRONG_WITH_TRIALD_DIRECT,A_BACKUP_MANIFEST_SHADOW_WITH_TRUST_LINEAGE,A_CLOUD_TRUST_SEPARATION_STRONG_REMOTE_GEO,YES,240,5,86,0,0,0,4
USER_DEVICE_MINI2,USER_CLUSTER_SUPPORT,C_WEAK_EVIDENCE_PRESSURE_CONTEXT,57.696,A_CROSS_CORE_0804,A_TRUST_LINEAGE_STRONG_WITH_TRIALD_DIRECT,C_WEAK_BACKUP_MANIFEST_CONTEXT,C_USER_DEVICE_LOCAL_OR_TRUST_CONTEXT,YES,141,3,45,0,0,0,0
CONTROL_OR_GENERIC_EXTERNAL,GENERIC_EXTERNAL_LABEL_WEAK,E_NO_EVIDENCE_SUPPRESSION_DECISION,-31.425,D_CSV_ONLY_NOT_DECISION,E_NO_TRUST_LINEAGE_DECISION,E_NO_BACKUP_MANIFEST_SHADOW,E_NO_PROXIMITY_CLOUD_DECISION,NO,0,0,0,0,0,0,0
LOW_EXPOSURE_IPAD,USER_CLUSTER_SUPPORT,E_NO_EVIDENCE_SUPPRESSION_DECISION,-31.425,D_CSV_ONLY_NOT_DECISION,E_NO_TRUST_LINEAGE_DECISION,E_NO_BACKUP_MANIFEST_SHADOW,E_NO_PROXIMITY_CLOUD_DECISION,NO,0,0,0,0,0,0,0
