device,date,role,control_class,stress_result,normal_explanation_pressure,composite_layer_count_6,strong_layer_count_6,bounded_composite_score,cluster_core_40b,triald_direct_42b43,trust_lineage_supported_43,backup_manifest_supported_44,proximity_or_cloud_context_45,cloud_separation_needed_45,evidence_pressure_supported_46,final_tier_40b,support_class_40b,trust_lineage_verdict_43,backup_manifest_verdict_44,proximity_cloud_verdict_45,evidence_suppression_verdict_46,raw_total_axis_hits_40b,raw_trial_ab_40b,raw_cloud_trust,raw_policy_restriction,raw_backup_manifest,raw_telecom_wifi_proximity,raw_evidence_pressure,raw_lateral_trust,claim_boundary
USER_ORIGIN_MINI1,2025-08-04,ORIGIN_CORE,USER_CLUSTER_DEVICE_NOT_CONTROL,CLUSTER_PATTERN_PRESENT,HIGH,6,5,211.447,YES,YES,YES,YES,YES,NO,YES,A_CROSS_CORE_0804,RAW_AND_CSV_RESULT_SUPPORT,A_TRUST_LINEAGE_STRONG_WITH_TRIALD_DIRECT,A_BACKUP_MANIFEST_SHADOW_WITH_TRUST_LINEAGE,C_USER_DEVICE_LOCAL_OR_TRUST_CONTEXT,A_EVIDENCE_SUPPRESSION_SHADOW_STRONG,18256,2134,2588,32,672,5018,5275,890,control_stress_on_local_artifact_summaries_not_clean_population_proof
USER_DEVICE_12G,2025-08-04,USER_CLUSTER_SUPPORT,USER_CLUSTER_DEVICE_NOT_CONTROL,CLUSTER_PATTERN_PRESENT,HIGH,6,5,205.908,YES,YES,YES,YES,YES,NO,YES,A_CROSS_CORE_0804,RAW_AND_CSV_RESULT_SUPPORT,A_TRUST_LINEAGE_STRONG_WITH_TRIALD_DIRECT,A_BACKUP_MANIFEST_SHADOW_WITH_TRUST_LINEAGE,C_USER_DEVICE_LOCAL_OR_TRUST_CONTEXT,A_EVIDENCE_SUPPRESSION_SHADOW_SUPPORTED,8173,256,2406,38,1810,1445,1794,96,control_stress_on_local_artifact_summaries_not_clean_population_proof
EXT_REMOTE_GEO_C,2025-08-04,EXTERNAL_GEO_SEPARATED,EXTERNAL_REVIEW_DEVICE_NOT_CONTROL,CLUSTER_PATTERN_PRESENT,HIGH,6,5,193.233,YES,YES,YES,YES,YES,YES,YES,A_CROSS_CORE_0804,RAW_AND_CSV_RESULT_SUPPORT,A_TRUST_LINEAGE_STRONG_WITH_TRIALD_DIRECT,A_BACKUP_MANIFEST_SHADOW_WITH_TRUST_LINEAGE,A_CLOUD_TRUST_SEPARATION_STRONG_REMOTE_GEO,C_WEAK_EVIDENCE_PRESSURE_CONTEXT,892,133,96,28,98,102,240,49,control_stress_on_local_artifact_summaries_not_clean_population_proof
USER_DEVICE_11PRO,2025-08-04,USER_CLUSTER_SUPPORT,USER_CLUSTER_DEVICE_NOT_CONTROL,CLUSTER_PATTERN_PRESENT,HIGH,6,4,193.188,YES,YES,YES,YES,YES,NO,YES,A_CROSS_CORE_0804,RAW_AND_CSV_RESULT_SUPPORT,A_TRUST_LINEAGE_STRONG_WITH_TRIALD_DIRECT,A_BACKUP_MANIFEST_SHADOW_WITH_TRUST_LINEAGE,C_USER_DEVICE_LOCAL_OR_TRUST_CONTEXT,B_EVIDENCE_PRESSURE_CONTEXT_SUPPORTED,4240,557,832,10,911,681,881,32,control_stress_on_local_artifact_summaries_not_clean_population_proof
EXT_NO_CONTACT_A,2025-08-04,EXTERNAL_CRITICAL_NO_DIRECT_CONTACT,EXTERNAL_REVIEW_DEVICE_NOT_CONTROL,CLUSTER_PATTERN_PRESENT,HIGH,5,3,176.873,YES,NO,YES,YES,YES,YES,YES,A_RAW_CORE_0804_NO_CSV_ECHO,RAW_ONLY,B_TRUST_LINEAGE_RAW_ONLY_STRONG_NO_TRIALD_DIRECT,B_RAW_ONLY_BACKUP_MANIFEST_SHADOW,A_CLOUD_TRUST_SEPARATION_STRONG_NO_DIRECT_CONTACT,A_EVIDENCE_SUPPRESSION_SHADOW_STRONG,34080,77,5446,12,6779,2884,5845,12692,control_stress_on_local_artifact_summaries_not_clean_population_proof
EXT_UNCERTAIN_B,2025-08-04,EXTERNAL_CRITICAL_UNCERTAIN_CONTACT,EXTERNAL_REVIEW_DEVICE_NOT_CONTROL,CLUSTER_PATTERN_PRESENT,HIGH,5,4,170.591,YES,YES,YES,NO,YES,YES,YES,A_CROSS_CORE_0804,RAW_AND_CSV_RESULT_SUPPORT,A_TRUST_LINEAGE_STRONG_WITH_TRIALD_DIRECT,C_WEAK_BACKUP_MANIFEST_CONTEXT,B_CLOUD_TRUST_SEPARATION_REVIEW_UNCERTAIN_CONTACT,B_EVIDENCE_PRESSURE_CONTEXT_SUPPORTED,3816,228,687,9,27,1679,883,78,control_stress_on_local_artifact_summaries_not_clean_population_proof
EXT_CONTACT_D,2025-08-04,EXTERNAL_CONTACT_KNOWN,EXTERNAL_REVIEW_DEVICE_NOT_CONTROL,CLUSTER_PATTERN_PRESENT,HIGH,5,3,161.138,YES,YES,YES,NO,YES,NO,YES,A_CROSS_CORE_0804,RAW_AND_CSV_RESULT_SUPPORT,A_TRUST_LINEAGE_STRONG_WITH_TRIALD_DIRECT,C_WEAK_BACKUP_MANIFEST_CONTEXT,C_PROXIMITY_POSSIBLE_BUT_TRUST_BACKUP_OVERLAP,B_EVIDENCE_PRESSURE_CONTEXT_SUPPORTED,2951,328,1407,13,28,255,592,43,control_stress_on_local_artifact_summaries_not_clean_population_proof
USER_DEVICE_MINI2,2025-08-04,USER_CLUSTER_SUPPORT,USER_CLUSTER_DEVICE_NOT_CONTROL,CLUSTER_PATTERN_PRESENT,HIGH,5,3,157.959,YES,YES,YES,NO,YES,NO,YES,A_CROSS_CORE_0804,RAW_AND_CSV_RESULT_SUPPORT,A_TRUST_LINEAGE_STRONG_WITH_TRIALD_DIRECT,C_WEAK_BACKUP_MANIFEST_CONTEXT,C_USER_DEVICE_LOCAL_OR_TRUST_CONTEXT,C_WEAK_EVIDENCE_PRESSURE_CONTEXT,1929,156,1251,21,24,114,141,27,control_stress_on_local_artifact_summaries_not_clean_population_proof
USER_BRIDGE_15G,2025-08-04,BRIDGE_TO_LATER_JOKER,USER_CLUSTER_DEVICE_NOT_CONTROL,CLUSTER_PATTERN_PRESENT,HIGH,5,3,155.5,YES,YES,YES,NO,YES,NO,YES,A_CROSS_CORE_0804,RAW_AND_CSV_RESULT_SUPPORT,A_TRUST_LINEAGE_STRONG_WITH_TRIALD_DIRECT,C_WEAK_BACKUP_MANIFEST_CONTEXT,C_USER_DEVICE_LOCAL_OR_TRUST_CONTEXT,B_EVIDENCE_PRESSURE_CONTEXT_SUPPORTED,1195,151,223,2,17,287,316,27,control_stress_on_local_artifact_summaries_not_clean_population_proof
EXT_CONTACT_E_12PROMAX,2025-08-04,EXTERNAL_CONTACT_KNOWN,EXTERNAL_REVIEW_DEVICE_NOT_CONTROL,CLUSTER_PATTERN_SUPPORTED,MEDIUM,5,1,151.156,YES,NO,YES,YES,YES,NO,YES,A_CROSS_CORE_0804,RAW_AND_CSV_RESULT_SUPPORT,B_TRUST_LINEAGE_STRONG_NO_TRIALD_DIRECT,B_BACKUP_MANIFEST_SHADOW_RAW_SUPPORTED,C_PROXIMITY_POSSIBLE_BUT_TRUST_BACKUP_OVERLAP,B_EVIDENCE_PRESSURE_CONTEXT_SUPPORTED,9254,134,7653,168,183,152,333,248,control_stress_on_local_artifact_summaries_not_clean_population_proof
EXT_CONTACT_E_6SPLUS,2025-08-04,EXTERNAL_CONTACT_KNOWN,FRIEND_DEVICE_NOT_CLEAN_CONTROL_IN_THIS_CLUSTER,CLUSTER_PATTERN_SUPPORTED,MEDIUM,5,1,137.979,YES,NO,YES,YES,YES,NO,YES,A_CROSS_CORE_0804,RAW_AND_CSV_RESULT_SUPPORT,B_TRUST_LINEAGE_STRONG_NO_TRIALD_DIRECT,B_BACKUP_MANIFEST_SHADOW_RAW_SUPPORTED,C_PROXIMITY_POSSIBLE_BUT_TRUST_BACKUP_OVERLAP,B_EVIDENCE_PRESSURE_CONTEXT_SUPPORTED,1019,6,27,10,536,103,264,29,control_stress_on_local_artifact_summaries_not_clean_population_proof
CONTROL_OR_GENERIC_EXTERNAL,2025-08-04,GENERIC_EXTERNAL_LABEL_WEAK,GENERIC_LABEL_NOT_VALID_CONTROL,CONTROL_PASSES_NO_CLUSTER_DENSITY,LOW,0,0,0.0,NO,NO,NO,NO,NO,NO,NO,D_CSV_ONLY_NOT_DECISION,CSV_ONLY_WEAK_RESULT_ECHO,E_NO_TRUST_LINEAGE_DECISION,E_NO_BACKUP_MANIFEST_SHADOW,E_NO_PROXIMITY_CLOUD_DECISION,E_NO_EVIDENCE_SUPPRESSION_DECISION,0,0,0,0,0,0,0,0,control_stress_on_local_artifact_summaries_not_clean_population_proof
LOW_EXPOSURE_IPAD,2025-08-04,USER_CLUSTER_SUPPORT,CONTROL_OR_LOW_EXPOSURE_CANDIDATE,CONTROL_PASSES_NO_CLUSTER_DENSITY,LOW,0,0,0.0,NO,NO,NO,NO,NO,NO,NO,D_CSV_ONLY_NOT_DECISION,CSV_ONLY_WEAK_RESULT_ECHO,E_NO_TRUST_LINEAGE_DECISION,E_NO_BACKUP_MANIFEST_SHADOW,E_NO_PROXIMITY_CLOUD_DECISION,E_NO_EVIDENCE_SUPPRESSION_DECISION,0,0,0,0,0,0,0,0,control_stress_on_local_artifact_summaries_not_clean_population_proof
